id,monthly_spending
B9C6BFBE,11 - 12 тыс р
D97EF7DE,28000 т
878009DA,94000 - 98000 тыс р
943E4F6E,22000
D4572B08,37 к
1AC63915,150000 тыс
D19135F5,77 т
D256CBE2,72000 k
7E7D14EB,71 - 92 тр
3598FD4F,121000 тыс
EE3EEE56,148000 тр
8C53F312,93 - 94 тыс р
881797D2,15 + 60 тыс
45575E56,90000 тыс
5EC7D7FC,25000 - 34000 т
E9232965,133 тыс руб
ECEF53DB,253000 тыс
4BAE21D1,358000 - 397000 т р
CCADB418,294 тыс
2F20E04F,21 - 35 т р
79CEE575,208000 - 252000 k
DE956B15,162 т
2760155B,286000 к
1B367A68,31000 - 40000 тыс
07E702E0,32000 т р
99717D14,275 к
F41935B7,148 тыс
2ECE6B2A,132000 т
6974CE4E,67 - 75 k
DE9361D2,136 т
F987BC82,25 - 26 к
A2AC9155,195 k
AABABF85,45 тыс
6BCEBE04,170000 тр
E09B9746,25000 к
237CE117,495000 тысяч
70F7C08F,59 - 83 тыс р
98803D8F,344000 k
67DFCEFD,52000
6EF91521,9 - 12 т
5A3F52E1,91000 к
2FFCB6A0,489 тыс руб
77994CCA,64000 - 69000 k
3605EF35,104000 тыс руб
E3D04417,51000 тыс руб
F215B961,313 - 321 тыс р
C30345BC,104 тыс руб
E0997CFA,104000 - 191000 тыс
B9E5CF3C,167000 - 169000 т р
CF9733E1,59 - 67 к
FA000D92,130000 т р
8DB4A0A9,24000 к
95FB8651,48 тр
4EF5C213,38000 тыс руб
F30EA2E6,103 к
4426F9C0,389000 т
9CD52945,50 тыс руб
4E254CED,118 т
5A5A0FDC,46000 тыс
DE8B3556,80000 тыс р
FA9051C2,129000 т р
4C03FAFC,68000 k
7149D9E1,99000 тыс
2BFB6A6C,179000 к
FCAA100A,12000 тыс
22E97A17,290 k
6D1F51FA,15 т
853E26B7,710000 т р
260EFD2E,11000 тыс
87C17355,47000 тыс р
E544CF7C,174 тыс руб
0B7B8CF2,177000 т
C50C7ADF,161 - 166 т р
9DCB4FBB,141 тр
57704C10,58000
5732BE70,178 тыс
68BE35F1,61 к
9AA0A495,156 тыс р
048B8C9C,74000 k
BC3F506B,70 т р
275D1D03,77 т
4343C786,33000 т р
3B97D53E,50 - 78 к
06FCC37C,10 тыс руб
F1B84527,93000 тр
393852FD,170 k
D6E215DF,122000 тр
09EA890A,449 тыс р
A320AA48,111 т
7A6616F8,92 тр
BF3389B0,167000 тыс руб
452924F7,27000 тыс р
567F6682,21 т
936CA20E,74 - 85 тыс
56F0541B,175 тыс руб
1D2D453B,143 - 175 т
3FE1E118,154000 т
9500ACED,54000
2809DEA3,158000 тр
1EBBD784,57000 тыс руб
B1341617,169000 т р
014CE2B2,708 тр
AEF06472,37000 тр
CC66701E,108000 к
CECB90D3,45000 - 49000 тр
CC982866,59000 т
E5A86446,36000 - 40000 т р
4AFED98E,28 к
E237530F,40000 тыс руб
C8DE7E9B,47 т
F15138CB,145000 т р
446FE29C,17 - 28 т
99494DB7,82 - 87 к
EF5BBDC1,331 - 342 тыс
326BD220,196000 тыс руб
C5F977A0,78 - 80 т р
E6E62E4C,13000 тр
79F93C52,43000 к
CCE0F421,169 k
F17015B4,95000 т
D2ACECA3,152 - 158 тыс
CFD95FCF,136 тр
0FC4D1A4,81000 тыс р
C88C4860,62000 k
4A21B531,53 - 99 тыс руб
38577F14,58 тыс руб
5BDDC0C6,56 к
162E096A,248000 к
FA33B92C,54 т р
A18BFD1F,102 тыс р
A28E529E,102000 т
7691EE28,97000 тыс
15E2A702,656 тр
24C27156,112000 т р
B43BB949,75000 - 76000 т р
DC2FB351,90 тыс
8ED28210,83 тыс р
4C02FB1B,159000 тр
D765744D,372000 т р
00CD8BF6,22 - 24 k
DB51F17A,15 тр
4B36E368,149000 k
78A84EE7,170 - 200 тыс р
0B341CBD,34000 тыс
074B9A6A,20 - 26 к
324A7678,28000 к
A0FC51BE,92 тыс руб
EBCB5592,154000 k
0AFD525B,473 т р
E515A0AD,397000 - 400000 т
A188DB28,123 т
BDDA06B1,104 к
F24A03DA,68000 тыс
153D185D,22 тр
83612D89,22000 к
9909AA7E,76000 тр
87E206FD,62000 тыс р
5E50ACFB,33000 тыс р
99CA193B,336000 тыс
EBB28489,14000 - 15000 тыс
CE7CB67D,68000 - 91000 т р
FE77A4B5,28000 тыс
847A67A4,706000 тр
8A357B4A,40000 т
77A7348F,29000 - 37000 тыс руб
E31A6E25,15000 тыс руб
F087C9A8,57 - 77 тр
5A580518,337000 k
38581ABB,186000 т
4634F319,133000 - 196000 т
FAFC0604,342 - 382 тыс р
5C70D5C9,197 - 199 k
8C8DD316,119000 к
F8B2CB01,51000 - 97000 т р
73036EF4,57 т
E679376D,259000 - 397000 тыс
B39C6B38,182000 k
77C1CB59,116000 - 169000 т
8B720CB2,104 тыс
5CF688BA,38000 - 39000 тыс р
B69933A8,28000 к
013D6661,154000 т
7A624570,193000 - 200000 т р
18749A53,9 тыс руб
6B5E78E8,54 - 89 т р
62B4CE2C,141000 - 176000 к
A49F2E32,93000 тр
DB0501F6,61 т р
5562222A,87 тр
6A12D44C,40 тыс руб
F1427BF4,65 т
08FCADB5,9 тыс
D69F8590,84 тр
D07E6FA0,97000 к
C3C9C889,48000 т р
24DFBC9D,206000 тыс
3B963CA1,45 k
84B699A0,77000 тыс
DEB5CB14,12 тыс
4EEE2793,85 тыс р
19AE2B34,183 тр
6106ABA8,91 тыс р
0621BC89,91000 - 96000 к
B5213267,92000 т
3570E8E1,229000
219A0860,29000 тыс р
1EDE0F33,157 к
3BE823A7,37 к
4D31EAE7,193 тр
7A2F6286,87 тыс р
8B32E550,109000 к
64628B0B,246000 - 396000 к
FE29A34B,12 тыс руб
6240FCA4,159000 т р
A5534BDB,77000 тыс р
E4E43F82,61000 т р
B316658A,153 тыс
7757E8EF,71 тыс руб
70251188,19000 - 30000 тыс руб
D5603B38,83 т р
214C372A,20000 - 37000 т
C43F55E7,62 тр
1C313E28,111 - 121 т р
19469C49,27 - 34 тыс
2CE1D795,176000 т
CD677D59,64000 - 72000 тыс р
E17BA1A5,67 т
15868827,49 - 90 к
789827EC,96000 - 100000 тыс руб
E3AD5DF6,100000 т р
7184CC3C,605000 т р
401585CE,81000 тыс р
1B4F35B4,133000 - 173000 к
AD0CC4C9,138 тыс
519731A6,77 т р
4D2FBB11,54 тр
DA5966B7,54 тр
D0CC3DA7,92 к
4C67351B,22 k
ECD54137,86 k
93E59054,706 тр
36797384,89 т
FC2205C3,23 тыс руб
F9AC5BA4,320000 k
E6120B9C,85000 т р
6565ED6C,197 - 199 тыс р
A6BA149A,214000 тыс
96EF3F43,144 - 180 т р
3D4A3456,153 k
F72F5C74,129000 т
E26D8D56,78 т
E923F8EA,382000 тыс руб
41387177,25 тыс р
C81766C6,29 - 31 тыс
261B0530,57000
FE038BFE,343000 тыс
D4CA9A9D,126000 - 154000 т р
9AF0B73F,195000 - 196000 тыс
243FA40F,156 т
7C4AF1A5,59 т
7CD02B4C,194000 тр
5E1641FE,187000 - 189000 тыс р
06DDF026,193000 - 199000 тыс руб
7ACD1052,82000 т
1558531D,128000 тыс
75B3FAE0,103000 тыс руб
1A9D2288,127 т р
D00FC73B,264 т
6071A4BE,188 - 191 к
BBAFB3A8,204 - 383 т
CB0B28DF,23 к
9DC3821C,373000 - 378000 тыс р
5009E225,72 тыс
3939DBE9,58000 тыс р
8005A591,28000 к
61F7AC98,96 тр
AC433144,78000 т
02F96404,143 - 199 тыс р
B7E7C0E0,170 - 190 тыс руб
02A7F6DD,113 - 130 k
6C796F3C,196 - 200 тыс р
CFCE0D9B,25000 тыс
B3F42043,132 k
17E8BF84,170 - 185 т р
B2E429C0,28 т р
3BFF82A9,59000 к
30200408,104000 тыс
25198132,55 т р
8690CF6E,35000 к
08137B71,191000 тр
272A80EA,36 т
DEA8A3F3,79000 тыс
9AE6D470,187 тыс р
B4E72222,83000 тыс руб
DBAB3E84,44000 т р
C01302E3,124 k
9B603095,22000
772ACC99,359 тр
0646D87C,96 k
47AAC348,11000 - 12000 тр
3ECC8B54,165 к
6A5074C8,20 т
55F45B82,221 тр
EE05910A,62 - 97 т р
3FB11281,70 тыс
0B50182F,366 - 392 тыс
4E8716AD,46 т
31E2AFE6,146 тыс
9F548B80,41000 т р
408B2A9D,156000 k
B34476E1,83 - 87 k
D6B48C39,110000 т р
427FA03D,117 - 199 тыс руб
AAC06D9E,69000 k
01760A44,86 т
56AED236,694000 тыс
B866400A,142 k
145CECFA,720 к
880D936E,198000 тр
9ABC5799,226 тыс р
8DB3DCCB,728000 тыс руб
9DEC7418,100 т р
6A504342,191 - 197 т р
60C869C7,54 тыс р
63AC23D5,121 к
3C1F4EEA,76000 тыс р
076BB4A9,139 к
92C33CED,59000
2495A236,99000 тыс р
38C5F53B,88 тыс
8318C564,25 тыс руб
D34AE23E,46 тр
99EC5393,94 тр
DEFA6706,65 - 93 т р
73D26962,185 - 190 k
33A86F78,144 тыс
4E8B2D80,61 - 63 к
F5593F1B,157 тыс р
4B476451,158000 тыс р
E3D56C74,67 - 79 к
8C168109,28000 - 30000 тыс руб
1C494378,68 - 94 тр
E55FE94D,36000 тыс руб
E010452F,123000 - 149000 k
2FF8B6BD,199 к
5CD4BD70,67 - 85 т
CA0B8E75,91 тыс р
57B55B06,643 тыс
AA9FD7A4,194000 тыс
A0C77A01,36000 - 37000 тыс руб
B7E0548D,203 тыс руб
D2F42138,50000 тысяч р
57B6462C,154000 к
290660A0,67 - 90 тыс р
7ADC07EC,10000 - 12000 тыс руб
BC8A2785,101000 тр
02EFF48F,34000 - 36000 тыс руб
BF26D410,182000 к
066448D3,95000 тыс р
B1FC6946,358 - 362 k
9354B1E6,19 тысяч
77E45F79,72 - 79 тыс р
0F5FF373,174000 тр
741F2F97,169 т
0EE60F0F,58000
B1A162DC,215000 - 279000 тыс р
0D708E4A,178 - 199 т
7D62EBA0,142000 - 149000 тыс р
79BAF24B,170000 тыс
0A848ADA,192 - 193 тр
9857DA28,200 т р
358CCCC6,69 к
EDF43A58,9 т
45C1DCDB,196000 тр
9A6CF548,177000 - 178000 тыс р
032D7F4B,36 тыс
CCABA580,93000 - 98000 тр
A531B61B,151 тыс
93DB6E43,193 k
D06F52F5,91 - 95 т р
D3AA221C,50000 т
C0ED5517,54000 тыс р
B45AD91B,60000 k
298EE14F,306000 тр
C52F45DB,132000 - 156000 k
8EF8BB42,185 - 197 тыс р
07DF1E65,79000 - 81000 т р
08479812,63 - 79 тр
97649B57,132000 т р
C8A2B157,156 тыс р
2FE56B6A,83000 к
88406D41,37 тр
87F30C12,81000 - 84000 т р
E732C8EF,192000 k
8EC2B5EA,42000 - 46000 тыс р
B5425F78,109000 k
D6C490B0,96 т
87729415,179 тыс руб
CDB754BE,92000 - 97000 тр
1031980C,80 k
FA307E17,66000
A6A7AA09,181000 тыс руб
8247ED1F,29 тыс руб
80E13988,185000 т р
90FA4B84,663000 k
B79E381B,250 тр
0D545E99,265 т р
F0346777,428 тыс руб
2C5DC5DF,317 т р
8B871E18,29000 тр
6AA77EAE,69 т р
598B81D3,25 тыс
6ED977CC,118 - 166 тыс р
3CB8A407,48 тр
B84D4876,52000 - 74000 тыс р
66347C96,12000 - 13000 т
FEB90A0A,21000 - 26000 k
E1EE2F81,77000 тыс р
71DFA447,76 - 90 тыс р
0A4A631F,47000 тыс руб
250B4B9A,196 тр
367C4E7A,32000 - 37000 т
EFF61C5D,151000 тыс руб
4E162707,123000 тр
528E78FB,441 - 576 k
41F02A3E,170 тыс руб
4EF2724E,177000 тыс р
DB6F788E,49000 - 86000 т р
52415CE9,12000 тыс
01E36B31,153 - 173 т
66DDCF1E,12000 тыс руб
27D47276,185 т р
2CEA3933,50000 т р
F3F71ED7,43 k
902E68F2,23000 - 24000 т р
1832F290,38 - 39 т р
0942EBF5,419000 - 426000 к
1745EBE2,156 к
F6D68227,94000 - 98000 тр
60A65BA6,579000 k
38EFADF7,128000 т
EC6A3AA2,50000 тр
39EA34B0,32000 тыс руб
A798D5EC,29000
BA716AE3,42 т р
5E81A744,187 тыс
7D30C541,158 т р
73A8020E,170 k
9C1BC609,26 - 30 тысяч
BE4ADFBA,33 k
DF75DFC8,32 k
A5D9DF1A,15 тыс р
6DDC7A4E,69000 - 88000 тыс
D4005FB5,94 т р
636D04AC,52 тыс руб
7A4687EE,524000 k
3EE8A233,61 - 79 т
146824BE,233 - 266 т
72C5442E,36 тыс
2DF72127,22000 к
62840AE8,20000 тр
F1453BB6,704 тыс
5107BD42,141 - 152 тыс р
2588EF63,85 - 90 к
A224E128,191000 тр
01D74575,65 т
7B1452BF,17 т
2B5AD7A4,241 - 359 k
569FDE10,135000 тыс руб
A4712F80,63 к
0C18A3F1,45000 - 74000 k
4DB008D3,90 т
8FC4C428,80 тр
EF99658C,86000 тр
0901FC9A,39000 - 40000 к
CD6FF2A9,48000 - 76000 тыс руб
A993447F,174000 т р
AE45B249,100 тыс р
4D1D9F08,31000 тыс руб
92F058BC,157 - 173 т
7DDE8C78,191 - 200 тыс
B0B10136,25000 - 40000 тр
EB45695C,166000 - 181000 т
3735DD28,42 т р
C5513D5B,12 тыс руб
07CB9CC7,51 k
9B94F3DA,18000 тыс руб
DA50D497,58 тыс руб
F37179C9,46000 - 63000 k
F2ACB031,120000 тыс р
A184E4C6,155000 k
F48EE958,787 k
8ABCDAE7,156 тр
AEF1F5AC,89 тыс руб
2F434B4A,25 k
14FDE5D1,13000 т р
B665D2DE,27000 тр
283F2823,49000 k
C9340C14,257 - 365 k
AF94AB89,134000 т
8CF3DD18,53000 тр
693A8AC6,172000 т
08ACD191,26 т
8A933E25,378000 т р
EF685620,107 тыс
D8E08578,47000 тыс руб
D0C5A854,43000 т р
2AA422B4,483000 тыс р
C44CDC55,312000 k
9F8AF774,752 - 780 к
83DDB463,153 тыс руб
8B9A88E7,159000 тыс р
FB8221D7,390000 - 397000 тыс руб
FBFDFC48,9 тыс р
05A1B1D0,34 - 35 т р
9A77C67D,174 т р
2D6C4C71,194000 тыс
7E85E944,147000 k
D73D4015,293000 - 377000 тыс руб
257A9661,48000 - 73000 k
07C4BAA1,180000 - 187000 k
C0C4EE8B,378 k
6E9B88F2,88000 - 97000 т
AEB30EF3,29000 тр
0AD96A6B,51000 тр
7FA09B8F,194 тыс р
D4063457,29 - 38 тыс руб
C877656B,60000 тр
A6E3D10E,20 - 25 тыс руб
9561B0F8,85000 к
83A7E4FF,100 тыс руб
DD0EE50F,69 т р
823CCCAD,22 т р
105372A0,195000
8CDAAFF9,378 k
6D98C92B,18 тыс р
113CCB04,131 к
D82B81F4,12 - 14 тыс руб
631AC997,11 - 14 k
468105DF,58 тыс р
DF542F68,64000 - 65000 k
51935E92,46000 тр
B97C1CBD,24000 тыс
DFAA4D62,330 т р
F42DF160,21 - 28 т р
A92489C4,40 тыс руб
84797BA5,14 т
C30B882C,119 тр
EA818403,379 - 398 тыс р
9100AC8C,60000 т
1EBFA590,176 к
EFF03C0B,33 к
D9FC40F9,444 k
551184C6,354000 - 371000 т
208414F2,147000 т
9043531A,165 тыс руб
0B119CA8,59000 k
808B4F61,160 - 194 тыс р
C4749C49,81000 тр
CD44783D,299000 тыс
432DE0D1,55 - 64 тр
837BDF59,48000 - 59000 тыс руб
B6A475E4,154 - 187 тыс руб
6129DF19,196 к
FBBF93CC,191000 т р
3E34D07C,24 k
89844E18,117000 тыс руб
D60F8C54,77 - 86 тыс
FFEEB87B,42 тр
70F0B3EB,35 - 36 тыс р
5EC9F0AC,59 т р
CF877C91,51 т
4869CF5B,77000
CBCB5248,92 т
B9CE5A0D,18000 - 19000 тыс руб
CF46E951,242 - 277 к
F3734D07,859 к + 30 к
CBB76614,36000 - 39000 т р
D2B4E040,98000 - 99000 к
804192FF,68000 тр
B6F6F611,70000 k
2A1E1F5D,37000 - 40000 тр
3978C4C1,103000 - 171000 тр
8F9428AD,20000 - 21000 тыс руб
82BDF9B3,523 тыс р
6F529357,193 т р
F3AD5FA1,26000 - 38000 тыс р
B3B68F2C,99 т
C3C77F3D,94 - 96 тыс
7456FFB9,63 тыс
2DA7C574,44000 k
D450436F,62000 т р
108AB419,92000 - 97000 k
60FEA70D,92 т р
055FC913,19 тыс руб
D0F38384,63000 - 66000 т р
C76DC6F9,68000 - 75000 т
8DE23AF7,61000 к
7FB2EE39,102000 - 114000 тр
F752C21E,87000 т
7FBCBD5B,19000 k
056E0817,91 - 99 тр
E6CCB35B,60000 - 70000 тыс руб
417124B8,15 т
BFDEA698,127000 - 181000 т
84E43B39,59000 k
82A450DA,59 тыс руб
F1384F07,186000 тыс руб
4AB150B3,31 тр
DF0B871E,191 тыс руб
277CB322,157000 к
52D108DC,173 - 184 т р
F044D759,70 тыс руб
D9D99A1A,82 - 90 тыс р
925262EE,37 т
B903C350,46000 т р
CCDE7689,76000 - 99000 k
5F35F010,100 т р
0D026A12,84000 к
8D776882,135000 k
2E25EAB0,238 к
AB617A58,361 к
E360F187,59 - 83 тыс руб
5E377E57,395000 тр
3E14E8CF,57 - 100 k
DE130BD6,93000 - 97000 к
09B0081A,262000 тыс руб
9FBF6575,98 k
EA8685C4,35 тр
418C4F5B,13000
AC821809,89 - 94 тыс
82BCF91D,181 - 195 тр
A16F62CA,429 тыс
9D87C975,94 тыс руб
37865D57,27 тыс р
328EF34D,136000 тыс руб
D6E79878,180000 тр
558144FF,23000 тыс
2EF7B751,175 - 181 т
1C2881A7,158 тыс руб
ECFA1DA7,379000 т р
3136C309,32000 - 33000 тыс
CF9877D2,129 k
1B564217,161 тыс р
C7A62DEB,96000 тыс р
7491AAF3,30000
2D524FCC,148 - 161 т р
A614EDFE,13 т р
D02B4D16,64 тыс р
865E228D,105000 тыс
DD6D93EF,87000
1220F5F4,61 т
BB6584B7,49000 k
77CFAB11,37 тыс
8911562C,44 тр
C7CB0813,142 - 181 т р
4BD78D61,212000 k
83B0A25D,111000 - 162000 k
D0C989E6,69 т р
00B473C6,62000
554F5927,179 к
A2264AF5,198 k
9E50741A,14000 тыс
1FC1C78D,39000 тыс руб
B9EC6EE5,104000 тыс руб
8EEBDB15,107000 - 136000 тыс
CFE5474A,265 k
0E449B71,20 тыс руб
DBC7B5C6,80 т
5D45474D,123000 тыс р
42E3C6C4,152000 т р
0B46BFE1,12 - 13 тыс р
42874AA9,28 тыс руб
DFFEA26C,39000 к
7EEDF9F0,84000 тыс р
2960257E,31 тр
75EABD98,377 - 386 k
48FF39E7,24000 - 30000 к
50EE7689,166 тыс р
B3B08F31,60000 т
7DCDC8C2,198 тыс р
093BC4F8,67000 тыс
D77960EA,21000 т
2268FDB7,16000 т р
F749ADA0,55000 тыс руб
660337BA,49000 - 83000 т р
15129563,740000 тыс
85254D5E,164 - 200 к
B668ED11,62000 k
E085DA7D,55 тыс
96FA006D,17000 тыс
A14B25DB,65 тыс р
26F3A760,183 тыс
90DA4629,97000 тыс руб
F10DA992,36 - 38 тыс р
F81754ED,45 тыс
616AAC7F,199 тыс р
F3D4CE12,40000 тыс
03F64D42,65000 - 67000 тыс
360758A8,69000 тр
1516EDCA,11000 т
92A47F0A,177 т
7110E726,78 тыс р
AB4A26C8,73 т р
336112FB,50 k
43315346,155 к
6CC025C5,148000 - 155000 к
D59396DA,92 тыс р
D25D2240,251000 к
C419A847,713000 к
6EC3EA16,22000 к
28C14776,16000 тыс
AB1ACFF6,33 - 40 т
8C929728,54 k
DC1F44CF,164 тр
7A73D534,12000 тыс р
5D763541,18000 тр
02C170EC,10 к
A3D91B12,140 - 197 т р
DF8BC000,79000 тыс
92054685,16000 - 30000 тр
2772DE79,71 - 88 k
B078E942,142 - 166 тыс руб
8AA8DDC4,45000 т
469BD204,17000 т
EA9D1950,134 k
EFBBA8CA,100000 тыс руб
E759E14E,117000 тыс руб
7942BF1B,71000
3DAD0AFB,168000 - 183000 тыс
17170546,14 k
1930997C,107000 т
2C09147D,13000 тыс
971DCF5F,355 k
90D71FA5,28 - 35 k
019CD8A6,723000 т р
340A8094,172 - 193 тыс руб
A5A750B6,102000 тыс руб
9EDF2D31,198 т
8DCCDF2A,26 k
5FC20A92,330 т
85D72C75,54000 тыс руб
E798A498,45000 т р
86C1B046,88 k
BB61780C,187000 тр
8629102D,60000 т р
8FA6986C,92000 т
A5D1A308,28 k
66CD9BF7,32 тыс руб
426548B6,95000 тр
92641A3A,159000 k
AE21965C,38 тыс
D0A66888,57000 т р
DB00DEAD,118 тыс руб
23130BC1,471 k
AAC49EF2,178 т р
B25E33BC,168 - 176 тр
1E9F781B,99000 тр
8C24F42C,29 тыс руб
A31CDB19,39000 k
F6E63486,14000 т р
71618F0B,105000 тыс р
7855020A,31000 - 38000 k
9FDCE961,91 тыс р
B2EF3065,523 тр
1BA28C1E,50000 - 52000 k
3C7B22C2,116000
05613804,180 k
116CD483,39 т
2EEE68E9,514000 k
4F1DA29F,70 тыс руб
A5925CC0,21000 - 22000 т
0BDF932F,41000 - 49000 тыс
3E6AA13E,11 k
EA0EFB2D,192 тр
C6E89B53,34 - 40 тыс р
D8A1E79A,54000 тыс руб
FBD0A2FA,20 - 24 т р
7E6C14CE,22 тыс руб
62EAE139,177000 тыс р
2B56B25C,38 тр
4A84C129,55 т
3536936E,127 - 173 к
93D20963,63000 k
661A42CF,29 т р
DD7432E9,29000 - 31000 т
AA50B1D2,423 тыс
ADBD2998,217 тыс р
8D42FC7A,256000 - 284000 к
99D72F90,96000 тыс р
7CCA81E0,94000 тыс руб
C7887C7C,154 т р
21E7DC61,87000 - 97000 к
347D8CC4,151000 - 198000 т
FCD57A31,59 тр
39FFC5A2,181 k
34FFFBBF,15000 - 29000 т р
C2EDE717,31000
430125EC,141 тыс руб
26558A70,51 k
620B195A,121 тыс руб
44F2A3A8,31 тыс
BC54E7D4,18000 k
9A64ACAB,20000 тыс руб
8E1CBD83,787000 тыс руб
47368B3B,48 k
643658A5,71000
0BA2B077,16000 k
A0C37CEA,61000 тыс р
387BD8ED,271000 тыс р
1B03600F,326 к
AF55948B,10 - 12 т руб
752A2059,451000 тыс руб
070F37E1,16 т р
E9CE7027,30 т
7F411521,23 - 30 тыс р
A9417A6A,158000 т р
8AC1106F,207000 т
AE929F19,17000 - 33000 т р
78A2925A,143 - 159 т
88918437,81000 т р
D082522D,79000 тыс руб
F98AB684,119 - 167 тыс руб
5F30B02E,190000 тр
C4BA01D2,387000 т
FE1B5C6E,42000 тыс руб
55AD47A4,29 - 30 k
677F87E3,529000 тыс
B2EE64C0,164000 - 198000 тыс р
BD634483,370000 тыс руб
EE04BC89,67 тыс руб
F43BFC4B,13 т
431B7EFB,76 т
228B1FD7,121 т
B86E4A49,105 - 145 к
35B05CD4,31000 тыс р
AC6FFB87,84 k
595D64DD,190000 тр
1C3D5AA2,58000 к
BF926FEB,81 т
1E427AD2,16 + 78 тр
CFFFAC12,342000 k
